dbshift                            0x801E4790
dbskeleton                         0x801E4790
dbtex                              0x801E4790
dbvpl                              0x801E4790
dbvtxnormal                        0x801E4790
dbzone                             0x801C6620
fxairbub                           0x801E4790
fxdialog                           0x801E21D0
fxdlsmoke                          0x801E4790
fxegg                              0x801C5860
fxfontstring                       0x801E4790
fxgenlist                          0x801E4790
fxleaves                           0x801C5860
fxmumbo                            0x801E4790
fxripple                           0x801C6620
fxsparkle                          0x801C6620
fxspgold                           0x801E4790
fxsplash25d                        0x801E4790
fxsplash                           0x801E4790
fxstep                             0x801BD0D0
fxtwinkle                          0x801E4790
idbounce                           0x80191C00
idflame                            0x801C5860
idflash                            0x801E4790
idflasha                           0x801C6620
idflashbaddie                      0x801E4790
idglow                             0x801C6620
idglowa                            0x801E4790
idlight                            0x801C6620
idscroll                           0x801E4790
idtwinkle                          0x801C5860
idtwinklea                         0x801E4790
idtwinklecolour                    0x801C5860
idwater                            0x801C6620
idwave                             0x801C5860
idwibble                           0x801C5860
idworld                            0x801C6620
idworldmake                        0x801BD0D0
inantab                            0x801ADB90
indrv_audio                        0x8019B940
indrv_fx                           0x80191C00
indrv_lights                       0x801E21D0
mlspline                           0x8019B940
mlwave                             0x801C6620
ncba1p                             0x8037E420
ncbabee                            0x801E4790
ncbaclimb                          0x8037EAD0
ncbadeflect                        0x801E21D0
ncbadie                            0x8037EB00
ncbadive                           0x8037EB80
ncbadolly                          0x8037EAF0
ncbafixpos                         0x8037EB20
ncbafly                            0x8037EAF0
ncbaglide                          0x801E4790
ncbajig                            0x8037EB30
ncbakaztorp                        0x801C6620
ncbaledge                          0x801E4790
ncbapan                            0x8037EAE0
ncbaspiral                         0x8037EA70
ncbaspline                         0x8037E2C0
ncbastring                         0x8037E9E0
ncbasub                            0x801C6620
ncbasuck                           0x801E21D0
ncbaswim                           0x8037E9E0
ncbatarget                         0x8037EAC0
ncbawaypoint                       0x8037EA80
ncfixposrot                        0x801C6620
ncpoddialog                        0x801C0110
ncpodfixpos                        0x801C6620
ncpoducam                          0x801D4420
plcamera                           0x801C6620
plsu                               0x801E4790
rtlight                            0x801BD0D0
sccustom                           0x801C5860
sccustom_banjo                     0x801C6620
sccustom_big                       0x801C6620
scinfobar                          0x80193540
scradar                            0x801A6800
seqdat                             0x801E4790
suautobaddies                      0x801C6620
subaddie3d                         0x801E4790
subaddieDll                        0x801C6620
subaddieaudioloop                  0x801C6620
subaddieaudioquick                 0x801E4790
subaddiebounce                     0x801E4790
subaddiecustomhits                 0x801C6620
subaddiedialog                     0x801D4420
subaddiedraw25d                    0x801E21D0
subaddiefade                       0x801C6620
subaddiefind                       0x801C5860
subaddiefx                         0x801C6620
subaddieitem                       0x801E21D0
